DateTime,temp,pressure,humidity,speed
2021-09-24 18:00:00,296.31,977,76,1.48
2021-09-24 21:00:00,295.49,992,81,2.95
2021-09-25 00:00:00,293.97,1009,89,2.67
2021-09-25 03:00:00,296.58,1011,77,3.6
2021-09-25 06:00:00,299.46,1010,64,4.36
2021-09-25 09:00:00,299.19,1007,65,3.51
2021-09-25 12:00:00,297.17,1007,76,2.84
2021-09-25 15:00:00,295.47,1010,82,3.83
2021-09-25 18:00:00,293.81,1010,91,4.05
2021-09-25 21:00:00,292.99,1008,93,3.56
2021-09-26 00:00:00,292.35,1008,94,2.96
2021-09-26 03:00:00,294.5,1010,81,4.14
2021-09-26 06:00:00,298.85,1008,61,4.99
2021-09-26 09:00:00,300.91,1004,51,5.15
2021-09-26 12:00:00,299.52,1005,60,2.84
2021-09-26 15:00:00,297.18,1007,69,3.21
2021-09-26 18:00:00,294.61,1007,86,3.5
2021-09-26 21:00:00,293.14,1006,91,3.87
2021-09-27 00:00:00,292.3,1007,94,3.27
2021-09-27 03:00:00,294.51,1008,82,4.38
2021-09-27 06:00:00,298.82,1007,61,4.65
2021-09-27 09:00:00,300.31,1003,53,4.11
2021-09-27 12:00:00,297.73,1004,66,1.38
2021-09-27 15:00:00,296.62,1006,70,3.43
2021-09-27 18:00:00,294.19,1008,85,4.95
2021-09-27 21:00:00,293.18,1006,89,4.39
2021-09-28 00:00:00,292.75,1007,90,4.07
2021-09-28 03:00:00,294.83,1009,80,5.85
2021-09-28 06:00:00,298.97,1008,62,6.13
2021-09-28 09:00:00,298.61,1005,64,5.68
2021-09-28 12:00:00,295.27,1006,82,4.47
2021-09-28 15:00:00,293.59,1010,88,4.45
2021-09-28 18:00:00,292.79,1010,94,3.93
2021-09-28 21:00:00,292.25,1008,94,3.98
2021-09-29 00:00:00,292.11,1009,92,3.81
2021-09-29 03:00:00,293.34,1012,85,4.87
2021-09-29 06:00:00,296.44,1010,71,5.26
2021-09-29 09:00:00,298.27,1007,66,3.68
2021-09-29 12:00:00,295.44,1008,80,2.93
2021-09-29 15:00:00,293.75,1011,90,4.21
